year,region_code,price
1989.0,UKC,1.7636961
1989.0,UKD,1.9400656
1989.0,UKE,1.8518808
1989.0,UKF,2.116435
1989.0,UKG,1.9621117
1989.0,UKH,2.0282505
1989.0,UKI,1.9621117
1989.0,UKJ,1.873927
1989.0,UKK,2.0282505
1989.0,UKL,2.0062041
1989.0,UKM,2.0723429
1989.0,UKN,2.1825738
1990.0,UKC,2.1825738
1990.0,UKD,2.1605277
1990.0,UKE,1.9841579
1990.0,UKF,2.1825738
1990.0,UKG,2.116435
1990.0,UKH,2.2487123
1990.0,UKI,2.1825738
1990.0,UKJ,2.116435
1990.0,UKK,2.3148508
1990.0,UKL,2.1715508
1990.0,UKM,2.2487123
1990.0,UKN,2.20462
1991.0,UKC,2.1825738
1991.0,UKD,2.1825738
1991.0,UKE,2.094389
1991.0,UKF,2.1825738
1991.0,UKG,2.1605277
1991.0,UKH,2.3148508
1991.0,UKI,2.1825738
1991.0,UKJ,2.1825738
1991.0,UKK,2.1825738
1991.0,UKL,2.1825738
1991.0,UKM,2.3148508
1991.0,UKN,2.3148508
1992.0,UKC,2.094389
1992.0,UKD,2.116435
1992.0,UKE,1.9841579
1992.0,UKF,2.094389
1992.0,UKG,2.094389
1992.0,UKH,2.1825738
1992.0,UKI,2.094389
1992.0,UKJ,2.094389
1992.0,UKK,2.1605277
1992.0,UKL,2.116435
1992.0,UKM,2.215643
1992.0,UKN,2.3479204
1993.0,UKC,2.094389
1993.0,UKD,2.1605277
1993.0,UKE,1.9621117
1993.0,UKF,2.0723429
1993.0,UKG,2.094389
1993.0,UKH,2.1825738
1993.0,UKI,2.094389
1993.0,UKJ,2.1605277
1993.0,UKK,2.1605277
1993.0,UKL,2.116435
1993.0,UKM,2.1825738
1993.0,UKN,2.425082
1994.0,UKC,2.094389
1994.0,UKD,2.094389
1994.0,UKE,1.9621117
1994.0,UKF,2.094389
1994.0,UKG,2.0723429
1994.0,UKH,2.094389
1994.0,UKI,2.094389
1994.0,UKJ,2.094389
1994.0,UKK,2.116435
1994.0,UKL,2.116435
1994.0,UKM,2.1825738
1994.0,UKN,2.425082
1995.0,UKC,2.0282505
1995.0,UKD,2.094389
1995.0,UKE,2.0282505
1995.0,UKF,2.094389
1995.0,UKG,2.0282505
1995.0,UKH,2.0921843
1995.0,UKI,2.140686
1995.0,UKJ,2.1660392
1995.0,UKK,2.1208444
1995.0,UKL,2.0613198
1995.0,UKM,2.1825738
1995.0,UKN,2.4691744
1996.0,UKC,2.2707586
1996.0,UKD,2.1825738
1996.0,UKE,2.20462
1996.0,UKF,2.39
1996.0,UKG,2.27
1996.0,UKH,2.39
1996.0,UKI,2.39
1996.0,UKJ,2.411518
1996.0,UKK,2.4
1996.0,UKL,2.1825738
1996.0,UKM,2.4
1996.0,UKN,2.64
1997.0,UKC,2.31
1997.0,UKD,2.16
1997.0,UKE,2.2
1997.0,UKF,2.41
1997.0,UKG,2.2
1997.0,UKH,2.48
1997.0,UKI,2.42
1997.0,UKJ,2.4
1997.0,UKK,2.49
1997.0,UKL,2.39
1997.0,UKM,2.45
1997.0,UKN,2.5
1998.0,UKC,2.1550002
1998.0,UKD,2.04
1998.0,UKE,2.18
1998.0,UKF,2.18
1998.0,UKG,2.08
1998.0,UKH,2.38
1998.0,UKI,2.31
1998.0,UKJ,2.33
1998.0,UKK,2.31
1998.0,UKL,2.03
1998.0,UKM,2.29
1998.0,UKN,2.29
1999.0,UKC,1.99
1999.0,UKD,1.99
1999.0,UKE,2.16
1999.0,UKF,2.18
1999.0,UKG,2.09
1999.0,UKH,2.39
1999.0,UKI,2.36
1999.0,UKJ,2.32
