year,region_code,price
1988,UKC,0.80000001
1988,UKD,0.81999999
1988,UKE,0.89999998
1988,UKF,0.855000015
1988,UKG,0.7950000150000001
1988,UKH,1.05
1988,UKI,0.85000002
1988,UKJ,0.76999998
1988,UKK,0.77999997
1988,UKL,0.73000002
1988,UKM,0.94
1988,UKN,1.0700001
1989,UKC,1.4550493
1989,UKD,1.543234
1989,UKE,1.4550493
1989,UKF,1.4330029
1989,UKG,1.4991416
1989,UKH,1.6314188
1989,UKI,1.4550493
1989,UKJ,1.4330029
1989,UKK,1.8518808
1989,UKL,1.6755111
1989,UKM,1.3668644
1989,UKN,2.1384814
1990,UKC,1.66448805
1990,UKD,1.7636961
1990,UKE,1.8298346
1990,UKF,1.7416499
1990,UKG,1.653465
1990,UKH,1.95108865
1990,UKI,1.8959732
1990,UKJ,1.6314188
1990,UKK,1.9841579
1990,UKL,1.7416499
1990,UKM,1.6203957
1990,UKN,2.1605277
1991,UKC,1.6314188
1991,UKD,1.5873264
1991,UKE,1.6314188
1991,UKF,1.6975573000000002
1991,UKG,1.6314188
1991,UKH,1.653465
1991,UKI,1.653465
1991,UKJ,1.653465
1991,UKK,1.653465
1991,UKL,1.653465
1991,UKM,1.653465
1991,UKN,2.2046199
1992,UKC,1.6314188
1992,UKD,1.653465
1992,UKE,1.5873264
1992,UKF,1.6424419000000001
1992,UKG,1.6975573000000002
1992,UKH,1.7416499
1992,UKI,1.7416499
1992,UKJ,1.6314188
1992,UKK,1.7636961
1992,UKL,1.6755111
1992,UKM,1.8298346
1992,UKN,1.9400656
1993,UKC,1.543234
1993,UKD,1.7196035
1993,UKE,1.6755111
1993,UKF,1.7416499
1993,UKG,1.7416499
1993,UKH,1.7416499
1993,UKI,1.7416499
1993,UKJ,1.7416499
1993,UKK,1.8518808
1993,UKL,1.7636961
1993,UKM,1.873927
1993,UKN,2.2046199
1994,UKC,1.5873264
1994,UKD,1.66
1994,UKE,1.653465
1994,UKF,1.7636961
1994,UKG,1.7416499
1994,UKH,1.8188115
1994,UKI,1.7857422
1994,UKJ,1.7416499
