Team,ppg,Part,football_most_popular,continent
Brazil,2.1666666666666665,22,1,South America
Germany,2.008928571428572,20,1,Europe
Argentina,1.7954545454545454,18,1,South America
Italy,1.879518072289157,18,1,Europe
France,1.7945205479452055,16,1,Europe
Spain,1.6417910447761197,16,1,Europe
Netherlands,1.8909090909090909,11,1,Europe
Uruguay,1.4915254237288136,14,1,South America
Belgium,1.431372549019608,14,1,Europe
Sweden,1.3725490196078431,12,1,Europe
Russia,1.488888888888889,11,1,Other
Mexico,1.1,17,1,North America
Serbia,1.2857142857142858,13,1,Europe
Portugal,1.6285714285714286,8,1,Europe
Poland,1.5,9,1,Europe
Switzerland,1.2195121951219512,12,1,Europe
Hungary,1.5,9,1,Europe
Croatia,1.5666666666666669,6,1,Europe
Austria,1.3793103448275863,7,1,Europe
Chile,1.2121212121212122,9,1,South America
United States,0.945945945945946,11,0,North America
Denmark,1.434782608695652,6,1,Europe
Paraguay,1.148148148148148,8,1,South America
South Korea,0.8157894736842105,11,1,Asia
Colombia,1.3636363636363635,6,1,South America
Romania,1.380952380952381,7,1,Europe
Japan,1.08,7,0,Asia
Costa Rica,1.0952380952380951,6,1,North America
Cameroon,0.8846153846153846,8,1,Africa
Morocco,0.9565217391304348,6,1,Africa
Nigeria,1.0,6,1,Africa
Senegal,1.5,3,1,Africa
Ghana,1.2,4,1,Africa
Peru,1.0,5,1,South America
Ecuador,1.3076923076923077,4,1,South America
Bulgaria,0.6538461538461539,7,1,Europe
Turkey,1.6,2,1,Europe
Australia,0.8,6,0,Asia
Tunisia,0.7777777777777778,6,1,Africa
Saudi Arabia,0.7368421052631579,6,1,Asia
Iran,0.7222222222222222,6,1,Asia
Algeria,0.9230769230769232,4,1,Africa
South Africa,1.1111111111111112,3,1,Africa
Norway,1.125,3,1,Europe
Greece,0.8,3,1,Europe
Ukraine,1.4,1,1,Europe
Slovakia,1.0,1,1,Europe
Slovenia,0.6666666666666666,2,1,Europe
Cuba,1.3333333333333333,1,0,South America
North Korea,0.5714285714285714,2,1,Asia
Bosnia and Herzegovina,1.0,1,1,Europe
Jamaica,1.0,1,1,North America
New Zealand,0.5,2,0,Other
Honduras,0.3333333333333333,3,1,North America
Angola,0.6666666666666666,1,1,Africa
Israel,0.6666666666666666,1,1,Asia
Egypt,0.2857142857142857,3,1,Africa
Iceland,0.3333333333333333,1,1,Europe
Kuwait,0.3333333333333333,1,1,Africa
Trinidad and Tobago,0.3333333333333333,1,0,South America
Bolivia,0.1666666666666666,3,1,South America
Iraq,0.0,1,1,Asia
Togo,0.0,1,1,Africa
Qatar,0.0,1,1,Asia
Indonesia,0.0,1,1,Asia
Panama,0.0,1,0,North America
United Arab Emirates,0.0,1,1,OtheAsia
China,0.0,1,1,Asia
Canada,0.0,2,0,North America
Haiti,0.0,1,1,North America
DR Congo,0.0,1,1,Africa
El Salvador,0.0,2,1,South America
