year,price
2004.0,1.15
2019.0,1.95
2023.0,2.45
2008.0,1.79
2022.0,2.99
2016.0,1.75
2011.0,1.5
2023.0,2.29
2013.0,1.75
2014.0,1.8
2018.0,1.85
2007.0,1.55
2005.0,1.49
2008.0,1.47
1996.0,1.56
2015.0,1.89
2013.0,1.8
1992.0,0.69
1997.0,0.99
1995.0,1.39
1992.0,0.69
1996.0,0.99
2018.0,2.15
2020.0,1.75
1999.0,1.19
2002.0,1.09
2010.0,1.67
2019.0,2.7
2019.0,2.0
2023.0,3.35
1998.0,1.09
1993.0,0.69
1993.0,0.99
2014.0,1.5
2002.0,0.89
2018.0,2.0
1998.0,1.15
2004.0,0.89
2018.0,1.95
2023.0,3.2
2021.0,2.5
2019.0,2.15
2004.0,1.27
2016.0,1.75
2005.0,1.45
1999.0,0.99
1993.0,1.09
2004.0,0.78
1993.0,0.4
2018.0,1.9
1993.0,0.6
2021.0,2.85
2022.0,0.65
2006.0,1.39
2016.0,1.97
2011.0,1.68
2022.0,1.7
2019.0,2.15
2007.0,1.49
1996.0,0.99
2023.0,2.49
2022.0,1.85
2021.0,1.35
1996.0,1.19
2006.0,0.59
2024.0,2.2
2010.0,1.53
2020.0,2.2
2000.0,1.29
2019.0,1.95
2020.0,1.35
1997.0,1.09
2022.0,2.0
2013.0,2.0
2004.0,1.49
2021.0,2.0
2014.0,1.8
2016.0,1.5
2013.0,1.8
2003.0,0.62
2021.0,1.5
2005.0,1.25
2020.0,1.79
2022.0,2.65
2004.0,1.25
1999.0,1.49
2010.0,0.85
2018.0,1.0
2017.0,1.8
2022.0,1.65
1998.0,0.89
2007.0,1.54
2023.0,3.2
1994.0,1.16
2022.0,2.1
1997.0,0.89
2021.0,2.5
2020.0,1.5
2009.0,1.0
2019.0,1.95
2006.0,1.44
2014.0,2.0
2017.0,1.75
2016.0,1.0
2018.0,2.15
1993.0,0.99
2002.0,1.19
2021.0,1.79
2021.0,2.3
1994.0,0.89
1997.0,0.99
1998.0,1.07
2022.0,2.5
2013.0,1.3
2014.0,1.0
2023.0,3.0
2011.0,0.89
1998.0,0.74
1993.0,0.89
2023.0,3.2
2018.0,2.15
2019.0,1.85
1993.0,0.89
2018.0,2.0
2011.0,2.2
2009.0,1.39
2022.0,2.75
1995.0,1.45
1998.0,0.99
2021.0,2.39
2017.0,1.3
1995.0,0.9
2019.0,1.95
2018.0,2.15
2008.0,1.69
1996.0,1.19
2008.0,1.69
1999.0,1.25
2021.0,0.69
2003.0,1.25
2006.0,1.25
1996.0,1.15
2017.0,1.97
2003.0,1.25
1998.0,0.79
1992.0,0.69
2022.0,2.65
2022.0,1.5
2014.0,1.75
2019.0,2.6
2003.0,1.49
2005.0,1.69
2004.0,1.27
2004.0,1.15
1993.0,1.09
2024.0,2.45
2022.0,1.85
2024.0,2.2
2021.0,2.39
2011.0,1.86
2019.0,1.95
2014.0,1.8
2017.0,1.97
2014.0,1.1
2024.0,3.55
1996.0,1.09
2019.0,1.9
2006.0,0.89
2014.0,1.89
1995.0,1.39
2011.0,1.68
2003.0,1.35
2019.0,1.25
2000.0,0.79
2006.0,1.0
2022.0,1.0
2021.0,2.3
2014.0,1.8
2016.0,1.75
1998.0,1.59
2005.0,1.35
2003.0,1.25
1994.0,0.99
2024.0,2.75
2021.0,2.45
2018.0,1.85
2020.0,1.35
2023.0,1.95
1997.0,0.6
2021.0,1.75
2023.0,2.0
2006.0,1.19
2021.0,0.99
2021.0,2.3
1994.0,0.85
2024.0,1.99
2019.0,2.29
2024.0,3.19
2011.0,1.68
1998.0,1.19
2008.0,1.29
2019.0,2.0
2020.0,1.0
2014.0,1.75
2020.0,2.0
2002.0,1.27
1995.0,1.55
2016.0,0.65
2021.0,1.5
2000.0,0.95
2018.0,0.95
2014.0,2.0
2011.0,1.25
2001.0,1.09
2022.0,0.99
2011.0,1.89
2006.0,1.19
2010.0,1.5
1997.0,0.79
2023.0,3.3
2009.0,1.39
2011.0,1.86
1992.0,0.89
1992.0,0.69
2016.0,1.0
2015.0,1.79
1997.0,1.09
1993.0,0.96
2013.0,1.4
2022.0,2.7
2018.0,1.85
1999.0,0.89
2022.0,2.3
2020.0,2.3
2010.0,0.97
2017.0,2.2
2002.0,0.89
1996.0,0.79
2005.0,1.49
2010.0,1.33
2022.0,2.0
2023.0,3.5
2018.0,2.45
2018.0,1.85
2008.0,1.49
2010.0,1.26
2010.0,1.0
2022.0,2.7
2022.0,2.5
2022.0,3.3
1995.0,1.55
2023.0,1.95
1994.0,0.69
2003.0,0.98
1996.0,1.39
2024.0,3.49
2022.0,0.99
2009.0,1.55
2019.0,2.15
2023.0,1.95
2021.0,2.29
2012.0,1.7
2009.0,1.85
2024.0,3.2
2013.0,2.35
2022.0,2.5
1992.0,0.89
1994.0,0.95
2024.0,1.95
1994.0,0.59
2013.0,2.0
1993.0,0.65
2008.0,1.91
2021.0,1.25
2020.0,2.39
1997.0,0.99
2021.0,2.29
2023.0,3.3
2015.0,2.2
1994.0,0.62
2023.0,2.0
2002.0,0.89
2016.0,1.75
2012.0,1.9
2018.0,1.95
2017.0,1.75
2015.0,0.57
2010.0,1.32
2012.0,1.79
2001.0,1.15
2004.0,0.89
2024.0,2.75
2012.0,1.79
2010.0,2.0
1996.0,0.75
2000.0,0.89
2021.0,2.3
2004.0,1.25
2020.0,1.35
2018.0,1.85
2019.0,1.85
1995.0,0.99
2015.0,0.65
2017.0,1.15
2021.0,2.39
1992.0,0.99
2005.0,1.49
1996.0,0.99
2013.0,1.75
2006.0,1.35
2022.0,2.0
2004.0,1.25
2013.0,1.15
2001.0,0.78
2021.0,1.5
1992.0,0.75
2021.0,2.3
1999.0,0.99
2014.0,1.0
2010.0,1.5
1994.0,0.99
2019.0,2.9
2011.0,1.65
2010.0,1.33
2004.0,1.19
2001.0,0.78
2015.0,1.75
2022.0,2.1
1994.0,0.49
2018.0,1.0
2017.0,1.9
2019.0,1.9
2010.0,1.67
1997.0,0.99
2019.0,0.9
2016.0,1.75
2021.0,2.29
2013.0,1.0
2024.0,1.65
2020.0,1.95
2021.0,1.0
2013.0,2.2
2011.0,1.68
2009.0,1.6
2016.0,1.5
2004.0,1.36
1997.0,1.19
2001.0,0.99
2017.0,1.97
1998.0,1.49
2002.0,1.04
2005.0,1.19
2012.0,1.69
2007.0,1.0
1995.0,1.29
2009.0,1.32
2015.0,1.0
1997.0,0.89
2011.0,1.0
2004.0,1.25
2009.0,0.79
2018.0,0.95
2008.0,1.59
2014.0,1.15
2023.0,1.95
2012.0,1.0
2023.0,2.15
2020.0,1.85
2023.0,2.45
2019.0,0.9
2022.0,3.4
2013.0,1.8
2012.0,1.68
2019.0,1.95
2011.0,1.0
2024.0,3.2
2017.0,2.0
1993.0,0.77
1992.0,1.0
2009.0,1.5
2001.0,1.15
2000.0,1.19
2023.0,1.0
2014.0,1.75
2004.0,1.49
2007.0,1.69
2017.0,1.85
1999.0,0.99
2007.0,1.48
2012.0,1.9
1995.0,1.15
2022.0,2.0
2007.0,1.29
2019.0,1.35
1997.0,0.99
1995.0,1.65
2003.0,1.25
