Country,mostpopularsport,Latitude (average),Longitude (average)
Afghanistan,Football (soccer),33.0,65.0
Albania,Football (soccer),41.0,20.0
Algeria,Football (soccer),28.0,3.0
American Samoa,Football (soccer),-14.3333,-170.0
Andorra,Football (soccer),42.5,1.6
Angola,Football (soccer),-12.5,18.5
Anguilla,Football (soccer),18.25,-63.1667
Antigua and Barbuda,Cricket,17.05,-61.8
Argentina,Football (soccer),-34.0,-64.0
Armenia,Football (soccer),40.0,45.0
Australia,Cricket,-27.0,133.0
Austria,Football (soccer),47.3333,13.3333
Azerbaijan,Football (soccer),40.5,47.5
Bahamas,Basketball,24.25,-76.0
Bahrain,Football (soccer),26.0,50.55
Bangladesh,Cricket,24.0,90.0
Barbados,Football (soccer),13.1667,-59.5333
Belarus,Football (soccer),53.0,28.0
Belgium,Football (soccer),50.8333,4.0
Bhutan,Archery,27.5,90.5
Bolivia,Football (soccer),-17.0,-65.0
Bosnia and Herzegovina,Football (soccer),44.0,18.0
Botswana,Football (soccer),-22.0,24.0
Brazil,Football (soccer),-10.0,-55.0
Brunei,Football (soccer),4.5,114.6667
Bulgaria,Football (soccer),43.0,25.0
Burkina Faso,Football (soccer),13.0,-2.0
Burundi,Football (soccer),-3.5,30.0
Cambodia,Football (soccer),13.0,105.0
Cameroon,Football (soccer),6.0,12.0
Canada,Ice Hockey,60.0,-95.0
Cape Verde,Football (soccer),16.0,-24.0
Central African Republic,Football (soccer),7.0,21.0
Chad,Football (soccer),15.0,19.0
Chile,Football (soccer),-30.0,-71.0
China,Football (soccer),35.0,105.0
Colombia,Football (soccer),4.0,-72.0
Comoros,Football (soccer),-12.1667,44.25
Costa Rica,Football (soccer),10.0,-84.0
Croatia,Football (soccer),45.1667,15.5
Cuba,Baseball,21.5,-80.0
Cyprus,Football (soccer),35.0,33.0
Czech Republic,Football (soccer),49.75,15.5
Denmark,Football (soccer),56.0,10.0
Djibouti,Football (soccer),11.5,43.0
Dominican Republic,Baseball,19.0,-70.6667
DR Congo,Football (soccer),0.0,25.0
Ecuador,Football (soccer),-2.0,-77.5
Egypt,Football (soccer),27.0,30.0
El Salvador,Football (soccer),13.8333,-88.9167
Equatorial Guinea,Football (soccer),2.0,10.0
Eritrea,Football (soccer),15.0,39.0
Estonia,Ice Hockey,59.0,26.0
Eswatini,Football (soccer),,
Ethiopia,Football (soccer),8.0,38.0
Fiji,Rugby,-18.0,175.0
Finland,Ice Hockey,64.0,26.0
France,Football (soccer),46.0,2.0
French Guiana,Football (soccer),4.0,-53.0
Gabon,Football (soccer),-1.0,11.75
Gambia,Football (soccer),13.4667,-16.5667
Georgia,Football (soccer),42.0,43.5
Germany,Football (soccer),51.0,9.0
Ghana,Football (soccer),8.0,-2.0
Gibraltar,Football (soccer),36.1833,-5.3667
Greece,Football (soccer),39.0,22.0
Grenada,Football (soccer),12.1167,-61.6667
Guadeloupe,Football (soccer),16.25,-61.5833
Guatemala,Football (soccer),15.5,-90.25
Guinea,Football (soccer),11.0,-10.0
Guyana,Cricket,5.0,-59.0
Haiti,Football (soccer),19.0,-72.4167
Honduras,Football (soccer),15.0,-86.5
Hong Kong,Football (soccer),22.25,114.1667
Hungary,Football (soccer),47.0,20.0
Iceland,Football (soccer),65.0,-18.0
India,Cricket,20.0,77.0
Indonesia,Football (soccer),-5.0,120.0
Iran,Football (soccer),32.0,53.0
Iraq,Football (soccer),33.0,44.0
Ireland,Gaelic Football,53.0,-8.0
Israel,Football (soccer),31.5,34.75
Italy,Football (soccer),42.8333,12.8333
Ivory Coast,Football (soccer),8.0,-5.0
Jamaica,Football (soccer),18.25,-77.5
Japan,Baseball,36.0,138.0
Jordan,Football (soccer),31.0,36.0
Kazakhstan,Football (soccer),48.0,68.0
Kenya,Football (soccer),1.0,38.0
Kiribati,Football (soccer),1.4167,173.0
Kuwait,Football (soccer),29.3375,47.6581
Kyrgyzstan,Football (soccer),41.0,75.0
Laos,Football (soccer),18.0,105.0
Latvia,Ice Hockey,57.0,25.0
Lebanon,Football (soccer),33.8333,35.8333
Lesotho,Football (soccer),-29.5,28.5
Liberia,Football (soccer),6.5,-9.5
Libya,Football (soccer),25.0,17.0
Lithuania,Basketball,56.0,24.0
Luxembourg,Football (soccer),49.75,6.1667
Madagascar,Football (soccer),-20.0,47.0
Malawi,Football (soccer),-13.5,34.0
Malaysia,Football (soccer),2.5,112.5
Maldives,Football (soccer),3.25,73.0
Mali,Football (soccer),17.0,-4.0
Malta,Football (soccer),35.8333,14.5833
Marshall Islands,Basketball,9.0,168.0
Martinique,Football (soccer),14.6667,-61.0
Mauritania,Football (soccer),20.0,-12.0
Mauritius,Football (soccer),-20.2833,57.55
Mexico,Football (soccer),23.0,-102.0
Micronesia,Football (soccer),6.9167,158.25
Moldova,Football (soccer),47.0,29.0
Monaco,Football (soccer),43.7333,7.4
Mongolia,Mongolian Wrestling,46.0,105.0
Montenegro,Football (soccer),42.0,19.0
Morocco,Football (soccer),32.0,-5.0
Mozambique,Football (soccer),-18.25,35.0
Myanmar,Football (soccer),22.0,98.0
Namibia,Football (soccer),-22.0,17.0
Nauru,Australian Football,-0.5333,166.9167
Nepal,Football (soccer),28.0,84.0
Netherlands,Football (soccer),52.5,5.75
New Caledonia,Football (soccer),-21.5,165.5
New Zealand,Rugby,-41.0,174.0
Nicaragua,Baseball,13.0,-85.0
Niger,Football (soccer),16.0,8.0
Nigeria,Football (soccer),10.0,8.0
North Korea,Football (soccer),40.0,127.0
North Macedonia,Football (soccer),41.8333,22.0
Norway,Football (soccer),62.0,10.0
Oman,Football (soccer),21.0,57.0
Pakistan,Cricket,30.0,70.0
Palau,Football (soccer),7.5,134.5
Palestine,Football (soccer),32.0,35.25
Panama,Baseball,9.0,-80.0
Papua New Guinea,Football (soccer),-6.0,147.0
Paraguay,Football (soccer),-23.0,-58.0
Peru,Football (soccer),-10.0,-76.0
Philippines,Basketball,13.0,122.0
Poland,Football (soccer),52.0,20.0
Portugal,Football (soccer),39.5,-8.0
Puerto Rico,Basketball,18.25,-66.5
Qatar,Football (soccer),25.5,51.25
Republic of the Congo,Football (soccer),,
Romania,Football (soccer),46.0,25.0
Russia,Football (soccer),60.0,100.0
