Country,mostpopularsport
Afghanistan,Football (soccer)
Albania,Football (soccer)
Algeria,Football (soccer)
American Samoa,Football (soccer)
Andorra,Football (soccer)
Angola,Football (soccer)
Anguilla,Football (soccer)
Antigua and Barbuda,Cricket
Argentina,Football (soccer)
Armenia,Football (soccer)
Australia,Cricket
Austria,Football (soccer)
Azerbaijan,Football (soccer)
Bahamas,Basketball
Bahrain,Football (soccer)
Bangladesh,Cricket
Barbados,Football (soccer)
Belarus,Football (soccer)
Belgium,Football (soccer)
Bhutan,Archery
Bolivia,Football (soccer)
Bosnia and Herzegovina,Football (soccer)
Botswana,Football (soccer)
Brazil,Football (soccer)
Brunei,Football (soccer)
Bulgaria,Football (soccer)
Burkina Faso,Football (soccer)
Burundi,Football (soccer)
Cambodia,Football (soccer)
Cameroon,Football (soccer)
Canada,Ice Hockey
Cape Verde,Football (soccer)
Central African Republic,Football (soccer)
Chad,Football (soccer)
Chile,Football (soccer)
China,Football (soccer)
Colombia,Football (soccer)
Comoros,Football (soccer)
Costa Rica,Football (soccer)
Croatia,Football (soccer)
Cuba,Baseball
Cyprus,Football (soccer)
Czech Republic,Football (soccer)
Denmark,Football (soccer)
Djibouti,Football (soccer)
Dominican Republic,Baseball
DR Congo,Football (soccer)
Ecuador,Football (soccer)
Egypt,Football (soccer)
El Salvador,Football (soccer)
Equatorial Guinea,Football (soccer)
Eritrea,Football (soccer)
Estonia,Ice Hockey
Eswatini,Football (soccer)
Ethiopia,Football (soccer)
Fiji,Rugby
Finland,Ice Hockey
France,Football (soccer)
French Guiana,Football (soccer)
Gabon,Football (soccer)
Gambia,Football (soccer)
Georgia,Football (soccer)
Germany,Football (soccer)
Ghana,Football (soccer)
Gibraltar,Football (soccer)
Greece,Football (soccer)
Grenada,Football (soccer)
Guadeloupe,Football (soccer)
Guatemala,Football (soccer)
Guinea,Football (soccer)
Guyana,Cricket
Haiti,Football (soccer)
Honduras,Football (soccer)
Hong Kong,Football (soccer)
Hungary,Football (soccer)
Iceland,Football (soccer)
India,Cricket
Indonesia,Football (soccer)
Iran,Football (soccer)
Iraq,Football (soccer)
Ireland,Gaelic Football
Israel,Football (soccer)
Italy,Football (soccer)
Ivory Coast,Football (soccer)
Jamaica,Football (soccer)
Japan,Baseball
Jordan,Football (soccer)
Kazakhstan,Football (soccer)
Kenya,Football (soccer)
Kiribati,Football (soccer)
Kuwait,Football (soccer)
Kyrgyzstan,Football (soccer)
Laos,Football (soccer)
Latvia,Ice Hockey
Lebanon,Football (soccer)
Lesotho,Football (soccer)
Liberia,Football (soccer)
Libya,Football (soccer)
Lithuania,Basketball
Luxembourg,Football (soccer)
Madagascar,Football (soccer)
Malawi,Football (soccer)
Malaysia,Football (soccer)
Maldives,Football (soccer)
Mali,Football (soccer)
Malta,Football (soccer)
Marshall Islands,Basketball
Martinique,Football (soccer)
Mauritania,Football (soccer)
Mauritius,Football (soccer)
Mexico,Football (soccer)
Micronesia,Football (soccer)
Moldova,Football (soccer)
Monaco,Football (soccer)
Mongolia,Mongolian Wrestling
Montenegro,Football (soccer)
Morocco,Football (soccer)
Mozambique,Football (soccer)
Myanmar,Football (soccer)
Namibia,Football (soccer)
Nauru,Australian Football
Nepal,Football (soccer)
Netherlands,Football (soccer)
New Caledonia,Football (soccer)
New Zealand,Rugby
Nicaragua,Baseball
Niger,Football (soccer)
Nigeria,Football (soccer)
North Korea,Football (soccer)
North Macedonia,Football (soccer)
Norway,Football (soccer)
Oman,Football (soccer)
Pakistan,Cricket
Palau,Football (soccer)
Palestine,Football (soccer)
Panama,Baseball
Papua New Guinea,Football (soccer)
Paraguay,Football (soccer)
Peru,Football (soccer)
Philippines,Basketball
Poland,Football (soccer)
Portugal,Football (soccer)
Puerto Rico,Basketball
Qatar,Football (soccer)
Republic of the Congo,Football (soccer)
Romania,Football (soccer)
Russia,Football (soccer)
Rwanda,Football (soccer)
Saint Kitts and Nevis,Football (soccer)
Saint Lucia,Football (soccer)
Saint Vincent and the Grenadines,Football (soccer)
Samoa,Rugby
San Marino,Football (soccer)
Sao Tome and Principe,Football (soccer)
Saudi Arabia,Football (soccer)
Senegal,Football (soccer)
Serbia,Football (soccer)
Seychelles,Football (soccer)
Sierra Leone,Football (soccer)
Singapore,Football (soccer)
Slovakia,Football (soccer)
Slovenia,Football (soccer)
Solomon Islands,Football (soccer)
Somalia,Football (soccer)
South Africa,Football (soccer)
South Korea,Football (soccer)
South Sudan,Football (soccer)
Spain,Football (soccer)
Sri Lanka,Cricket
Sudan,Football (soccer)
Suriname,Football (soccer)
Sweden,Football (soccer)
Switzerland,Football (soccer)
Syria,Football (soccer)
Taiwan,Baseball
Tajikistan,Football (soccer)
Tanzania,Football (soccer)
Thailand,Football (soccer)
Timor-Leste,Football (soccer)
Togo,Football (soccer)
Tonga,Rugby
Trinidad and Tobago,Cricket
Tunisia,Football (soccer)
Turkey,Football (soccer)
Turkmenistan,Football (soccer)
Tuvalu,Football (soccer)
Uganda,Football (soccer)
Ukraine,Football (soccer)
United Arab Emirates,Football (soccer)
United Kingdom,Football (soccer)
United States,American Football (NFL)
Uruguay,Football (soccer)
Uzbekistan,Football (soccer)
Vanuatu,Football (soccer)
Venezuela,Baseball
Vietnam,Football (soccer)
Wallis and Futuna,Football (soccer)
Yemen,Football (soccer)
Zambia,Football (soccer)
Zimbabwe,Football (soccer)
