"Ethnicity","Rate","Number"
"All","0.08","6,495"
"Asian","0.03","305"
"Bangladeshi","0.02","33"
"Indian","0.01","36"
"Pakistani","0.05","190"
"Asian Other","0.03","46"
"Black","0.07","356"
"Black African","0.05","164"
"Black Caribbean","0.16","134"
"Black Other","0.09","58"
"Chinese","0.01","4"
"Mixed","0.11","598"
"Mixed White and Asian","0.06","87"
"Mixed White and Black African","0.10","77"
"Mixed White and Black Caribbean","0.23","298"
"Mixed Other","0.06","136"
"White","0.08","4,997"
"White British","0.09","4,649"
"Gypsy, Roma","0.31","84"
"White Irish","0.11","23"
"Irish Traveller","0.31","21"
"White Other","0.04","220"
"Other","0.05","85"
"Unknown","0.11","150"
