Team,Part,ppg
Brazil,22,2.1666666666666665
Germany,20,2.0089285714285716
Argentina,18,1.7954545454545454
Italy,18,1.8795180722891567
France,16,1.7945205479452055
England,16,1.5945945945945945
Spain,16,1.6417910447761195
Netherlands,11,1.8909090909090909
Uruguay,14,1.4915254237288136
Belgium,14,1.4313725490196079
Sweden,12,1.3725490196078431
Russia,11,1.488888888888889
Mexico,17,1.1
Serbia,13,1.2857142857142858
Portugal,8,1.6285714285714286
Poland,9,1.5
Switzerland,12,1.2195121951219512
Hungary,9,1.5
Croatia,6,1.5666666666666667
Czech Republic,9,1.2424242424242424
Austria,7,1.3793103448275863
Chile,9,1.2121212121212122
United States,11,0.9459459459459459
Denmark,6,1.434782608695652
Paraguay,8,1.1481481481481481
South Korea,11,0.8157894736842105
Colombia,6,1.3636363636363635
Romania,7,1.380952380952381
Japan,7,1.08
Costa Rica,6,1.0952380952380953
Cameroon,8,0.8846153846153846
Morocco,6,0.9565217391304348
Nigeria,6,1.0
Scotland,8,0.8260869565217391
Senegal,3,1.5
Ghana,4,1.2
Peru,5,1.0
Ecuador,4,1.3076923076923077
Bulgaria,7,0.6538461538461539
Turkey,2,1.6
Australia,6,0.8
Republic of Ireland,3,1.0769230769230769
Northern Ireland,3,1.0769230769230769
Tunisia,6,0.7777777777777778
Saudi Arabia,6,0.7368421052631579
Iran,6,0.7222222222222222
Algeria,4,0.9230769230769231
Ivory Coast,3,1.1111111111111112
South Africa,3,1.1111111111111112
Norway,3,1.125
East Germany,1,1.3333333333333333
Greece,3,0.8
Ukraine,1,1.4
Wales,2,0.875
Slovakia,1,1.0
Slovenia,2,0.6666666666666666
Cuba,1,1.3333333333333333
North Korea,2,0.5714285714285714
Bosnia and Herzegovina,1,1.0
Jamaica,1,1.0
New Zealand,2,0.5
Honduras,3,0.3333333333333333
Angola,1,0.6666666666666666
Israel,1,0.6666666666666666
Egypt,3,0.2857142857142857
Iceland,1,0.3333333333333333
Kuwait,1,0.3333333333333333
Trinidad and Tobago,1,0.3333333333333333
Bolivia,3,0.16666666666666666
Iraq,1,0.0
Togo,1,0.0
Qatar,1,0.0
Indonesia,1,0.0
Panama,1,0.0
United Arab Emirates,1,0.0
China,1,0.0
Canada,2,0.0
Haiti,1,0.0
DR Congo,1,0.0
El Salvador,2,0.0
