Rank (2022)[1],Federal subject,Russian name,2022 (billion RUB),2022 (billion USD)
–,Russian Federation,Российская Федерация,140671,2054.04
1,Moscow,Москва,28507,416.25
2,Saint Petersburg,Санкт-Петербург,11166,163.04
3,Moscow Oblast,Московская область,7721,112.74
4,Khanty-Mansi Autonomous Okrug,Ханты-Мансийский автономный округ,6894,100.66
5,Yamalo-Nenets Autonomous Okrug,Ямало-Ненецкий автономный округ,5350,78.12
6,Krasnodar Krai,Краснодарский край,4304,62.85
7,Tatarstan,Татарстан,4179,61.02
8,Sverdlovsk Oblast,Свердловская область,3470,50.67
9,Krasnoyarsk Krai,Красноярский край,3319,48.46
10,Samara Oblast,Самарская область,2378,34.72
11,Irkutsk Oblast,Иркутская область,2357,34.42
12,Rostov Oblast,Ростовская область,2326,33.96
13,Chelyabinsk Oblast,Челябинская область,2300,33.58
14,Nizhny Novgorod Oblast,Нижегородская область,2288,33.41
15,Bashkortostan,Башкортостан,2243,32.75
16,Kemerovo Oblast,Кемеровская область,2189,31.96
17,Sakha Republic,Саха (Якутия),2025,29.57
18,Perm Krai,Пермский край,2003,29.25
19,Novosibirsk Oblast,Новосибирская область,1939,28.31
20,Tyumen Oblast,Тюменская область,1720,25.12
21,Leningrad Oblast,Ленинградская область,1658,24.21
22,Orenburg Oblast,Оренбургская область,1571,22.94
23,Primorsky Krai,Приморский край,1539,22.47
24,Sakhalin Oblast,Сахалинская область,1530,22.34
25,Voronezh Oblast,Воронежская область,1378,20.12
26,Belgorod Oblast,Белгородская область,1311,19.14
27,Stavropol Krai,Ставропольский край,1200,17.52
28,Saratov Oblast,Саратовская область,1194,17.43
29,Murmansk Oblast,Мурманская область,1149,16.78
30,Khabarovsk Krai,Хабаровский край,1068,15.59
31,Volgograd Oblast,Волгоградская область,1024,14.95
32,Vologda Oblast,Вологодская область,1024,14.95
33,Tula Oblast,Тульская область,1004,14.66
34,Komi Republic,Республика Коми,976,14.25
35,Udmurtia,Удмуртия,966,14.11
36,Omsk Oblast,Омская область,947,13.83
37,Altai Krai,Алтайский край,945,13.8
38,Dagestan,Дагестан,913,13.33
39,Tomsk Oblast,Томская область,810,11.83
40,Lipetsk Oblast,Липецкая область,793,11.58
41,Vladimir Oblast,Владимирская область,780,11.39
42,Astrakhan Oblast,Астраханская область,765,11.17
43,Yaroslavl Oblast,Ярославская область,748,10.92
44,Kaliningrad Oblast,Калининградская область,738,10.78
45,Arkhangelsk Oblast,Архангельская область,700,10.22
46,Kaluga Oblast,Калужская область,694,10.13
47,Kursk Oblast,Курская область,665,9.71
48,Republic of Crimea,Республика Крым,656,9.58
49,Tver Oblast,Тверская область,629,9.18
50,Ryazan Oblast,Рязанская область,619,9.04
51,Amur Oblast,Амурская область,604,8.82
52,Penza Oblast,Пензенская область,593,8.66
53,Ulyanovsk Oblast,Ульяновская область,589,8.6
54,Kirov Oblast,Кировская область,555,8.1
55,Bryansk Oblast,Брянская область,549,8.02
56,Zabaykalsky Krai,Забайкальский край,547,7.99
57,Chuvashia,Чувашия,502,7.33
58,Nenets Autonomous Okrug,Ненецкий автономный округ,488,7.13
59,Smolensk Oblast,Смоленская область,483,7.05
60,Tambov Oblast,Тамбовская область,474,6.92
61,Buryatia,Бурятия,447,6.97
62,Karelia,Карелия,391,5.71
63,Novgorod Oblast,Новгородская область,381,5.56
64,Oryol Oblast,Орловская область,370,5.4
65,Ivanovo Oblast,Ивановская область,364,5.32
66,Kamchatka Krai,Камчатский край,357,5.21
67,Khakassia,Хакасия,349,5.1
68,Mordovia,Мордовия,342,4.99
69,Kurgan Oblast,Курганская область,340,4.96
70,Magadan Oblast,Магаданская область,316,4.61
71,Chechnya,Чечня,315,4.6
72,Kostroma Oblast,Костромская область,276,4.03
73,Mari El,Марий Эл,262,3.83
74,Kabardino-Balkaria,Кабардино-Балкария,259,3.78
75,Pskov Oblast,Псковская область,258,3.77
76,Sevastopol,Севастополь,230,3.36
77,North Ossetia–Alania,Северная Осетия — Алания,216,3.15
78,Adygea,Адыгея,197,2.88
79,Chukotka Autonomous Okrug,Чукотский автономный округ,141,2.06
80,Karachay-Cherkessia,Карачаево-Черкесия,126,1.84
81,Kalmykia,Калмыкия,119,1.74
82,Tuva,Тыва,108,1.58
83,Altai Republic,Республика Алтай,91,1.33
84,Ingushetia,Ингушетия,82,1.2
85,Jewish Autonomous Oblast,Еврейская автономная область,81,1.18
