name,latitude,longitude,capacity,
Luzhniki Stadium,55.7154,37.5533,78011.00,
Spartak Stadium,55.8177,37.4402,44190.00,
Volgograd Arena,48.7344,44.5486,43713.00,
Rostov Arena,47.209444,39.737778,43472.00,
Nizhny Novgorod Stadium,56.3375,43.9633,43319.00,
Kazan Arena,55.821,49.1608,45379.00,
Ekaterinburg Arena,56.8326,60.5734,35696.00,
Fisht Stadium,43.4011,39.9563,44287.00,
Kaliningrad Stadium,54.6982,20.5337,35000.00,
Saint Petersburg Stadium,59.9727,30.2214,64468.00,
Samara Arena,53.278,50.2375,41970.00,
Mordovia Arena,54.182778,45.201389,41685.00,
