Name,Team,P,G
Erling Haaland,Manchester City,11,12
Bryan Mbeumo,Brentford,11,8
Mohamed Salah,Liverpool,11,8
Chris Wood,Nottingham Forest,10,8
Cole Palmer,Chelsea,10,7
Yoane Wissa,Brentford,8,7
Danny Welbeck,Brighton & Hove Albion,11,6
Nicolas Jackson,Chelsea,10,6
Matheus Cunha,Wolverhampton Wanderers,11,5
Ollie Watkins,Aston Villa,11,5
Luis Díaz,Liverpool,11,5
Liam Delap,Ipswich Town,10,5
Antoine Semenyo,AFC Bournemouth,11,4
Jørgen Strand Larsen,Wolverhampton Wanderers,11,4
Raúl Jiménez,Fulham,11,4
Jhon Durán,Aston Villa,11,4
Kai Havertz,Arsenal,10,4
Jamie Vardy,Leicester City,10,4
Brennan Johnson,Tottenham Hotspur,10,4
Evanilson,AFC Bournemouth,10,4
Noni Madueke,Chelsea,9,4
Dominic Solanke,Tottenham Hotspur,8,4
Jarrod Bowen,West Ham United,11,3
Josko Gvardiol,Manchester City,11,3
Rayan Aït-Nouri,Wolverhampton Wanderers,11,3
Morgan Rogers,Aston Villa,11,3
Mateo Kovacic,Manchester City,11,3
Emile Smith Rowe,Fulham,11,3
Jean-Philippe Mateta,Crystal Palace,11,3
Dwight McNeil,Everton,10,3
James Maddison,Tottenham Hotspur,10,3
Harvey Barnes,Newcastle United,10,3
Bukayo Saka,Arsenal,9,3
Facundo Buonanotte,Leicester City,9,3
Alexander Isak,Newcastle United,8,3
Son Heung-Min,Tottenham Hotspur,7,3
Harry Wilson,Fulham,7,3
João Pedro,Brighton & Hove Albion,5,3
Marc Guéhi,Crystal Palace,11,2
Ethan Pinnock,Brentford,11,2
Alex Iwobi,Fulham,11,2
Dominic Calvert-Lewin,Everton,11,2
Lucas Paquetá,West Ham United,11,2
Iliman Ndiaye,Everton,11,2
Justin Kluivert,AFC Bournemouth,11,2
Cameron Archer,Southampton,11,2
Gabriel Magalhães,Arsenal,10,2
Dejan Kulusevski,Tottenham Hotspur,10,2
Callum Hudson-Odoi,Nottingham Forest,10,2
Amadou Onana,Aston Villa,10,2
