Name,Team,P,G
Erling Haaland,Manchester City,31,27
Cole Palmer,Chelsea,34,22
Alexander Isak,Newcastle United,30,21
Dominic Solanke,AFC Bournemouth,38,19
Ollie Watkins,Aston Villa,37,19
Phil Foden,Manchester City,35,19
Mohamed Salah,Liverpool,32,18
Son Heung-Min,Tottenham Hotspur,35,17
Bukayo Saka,Arsenal,35,16
Jean-Philippe Mateta,Crystal Palace,35,16
Jarrod Bowen,West Ham United,34,16
Nicolas Jackson,Chelsea,35,14
Chris Wood,Nottingham Forest,31,14
Kai Havertz,Arsenal,37,13
Yoane Wissa,Brentford,34,12
Leandro Trossard,Arsenal,34,12
Matheus Cunha,Wolverhampton Wanderers,32,12
Hwang Hee-Chan,Wolverhampton Wanderers,29,12
Carlton Morris,Luton Town,38,11
Julián Álvarez,Manchester City,36,11
Darwin Núñez,Liverpool,36,11
Anthony Gordon,Newcastle United,35,11
Richarlison,Tottenham Hotspur,28,11
Eberechi Eze,Crystal Palace,27,11
Bruno Fernandes,Manchester United,35,10
Leon Bailey,Aston Villa,35,10
Rasmus Højlund,Manchester United,30,10
Elijah Adebayo,Luton Town,27,10
Diogo Jota,Liverpool,21,10
Michael Olise,Crystal Palace,19,10
Douglas Luiz,Aston Villa,35,9
João Pedro,Brighton & Hove Albion,31,9
Rodrigo Muniz,Fulham,26,9
Bryan Mbeumo,Brentford,25,9
Callum Wilson,Newcastle United,20,9
Luis Díaz,Liverpool,37,8
Dejan Kulusevski,Tottenham Hotspur,36,8
Martin Ødegaard,Arsenal,35,8
Cody Gakpo,Liverpool,35,8
Rodri,Manchester City,34,8
Mohammed Kudus,West Ham United,33,8
Antoine Semenyo,AFC Bournemouth,33,8
Raheem Sterling,Chelsea,31,8
Callum Hudson-Odoi,Nottingham Forest,29,8
Declan Rice,Arsenal,38,7
Bruno Guimarães,Newcastle United,37,7
James Ward-Prowse,West Ham United,37,7
Tomás Soucek,West Ham United,37,7
Alejandro Garnacho,Manchester United,36,7
Marcus Rashford,Manchester United,33,7
