Rank (2022)[1],Federal subject,Russian name,2022 (billion RUB),2022 (billion USD)
–,Russian Federation,Российская Федерация,140671,2054.04
1,Moskva,Москва,28507,416.25
2,City of St. Petersburg,Санкт-Петербург,11166,163.04
3,Moskovskaya,Московская область,7721,112.74
4,Khanty-Mansiy,Ханты-Мансийский автономный округ,6894,100.66
5,Yamal-Nenets,Ямало-Ненецкий автономный округ,5350,78.12
6,Krasnodar,Краснодарский край,4304,62.85
7,Tatarstan,Татарстан,4179,61.02
8,Sverdlovsk,Свердловская область,3470,50.67
9,Krasnoyarsk,Красноярский край,3319,48.46
10,Samara,Самарская область,2378,34.72
11,Irkutsk,Иркутская область,2357,34.42
12,Rostov,Ростовская область,2326,33.96
13,Chelyabinsk,Челябинская область,2300,33.58
14,Nizhegorod,Нижегородская область,2288,33.41
15,Bashkortostan,Башкортостан,2243,32.75
16,Kemerovo,Кемеровская область,2189,31.96
17,Sakha (Yakutia),Саха (Якутия),2025,29.57
18,Perm',Пермский край,2003,29.25
19,Novosibirsk,Новосибирская область,1939,28.31
20,Tyumen',Тюменская область,1720,25.12
21,Leningrad,Ленинградская область,1658,24.21
22,Orenburg,Оренбургская область,1571,22.94
23,Primor'ye,Приморский край,1539,22.47
24,Sakhalin,Сахалинская область,1530,22.34
25,Voronezh,Воронежская область,1378,20.12
26,Belgorod,Белгородская область,1311,19.14
27,Stavropol',Ставропольский край,1200,17.52
28,Saratov,Саратовская область,1194,17.43
29,Murmansk,Мурманская область,1149,16.78
30,Khabarovsk,Хабаровский край,1068,15.59
31,Volgograd,Волгоградская область,1024,14.95
32,Vologda,Вологодская область,1024,14.95
33,Tula,Тульская область,1004,14.66
34,Komi,Республика Коми,976,14.25
35,Udmurt,Удмуртия,966,14.11
36,Omsk,Омская область,947,13.83
37,Altay,Алтайский край,945,13.8
38,Dagestan,Дагестан,913,13.33
39,Tomsk,Томская область,810,11.83
40,Lipetsk,Липецкая область,793,11.58
41,Vladimir,Владимирская область,780,11.39
42,Astrakhan',Астраханская область,765,11.17
43,Yaroslavl,Ярославская область,748,10.92
44,Kaliningrad,Калининградская область,738,10.78
45,Arkhangel'sk,Архангельская область,700,10.22
46,Kaluga,Калужская область,694,10.13
47,Kursk,Курская область,665,9.71
48,Republic of Crimea,Республика Крым,656,9.58
49,Tver',Тверская область,629,9.18
50,Ryazan',Рязанская область,619,9.04
51,Amur,Амурская область,604,8.82
52,Penza,Пензенская область,593,8.66
53,Ul'yanovsk,Ульяновская область,589,8.6
54,Kirov,Кировская область,555,8.1
55,Bryansk,Брянская область,549,8.02
56,Chita,Забайкальский край,547,7.99
57,Chuvash,Чувашия,502,7.33
58,Nenets,Ненецкий автономный округ,488,7.13
59,Smolensk,Смоленская область,483,7.05
60,Tambov,Тамбовская область,474,6.92
61,Buryat,Бурятия,447,6.97
62,Karelia,Карелия,391,5.71
63,Novgorod,Новгородская область,381,5.56
64,Oryol Oblast,Орловская область,370,5.4
65,Ivanovo,Ивановская область,364,5.32
66,Kamchatka,Камчатский край,357,5.21
67,Khakass,Хакасия,349,5.1
68,Mordovia,Мордовия,342,4.99
69,Kurgan,Курганская область,340,4.96
70,Maga Buryatdan,Магаданская область,316,4.61
71,Chechnya,Чечня,315,4.6
72,Kostroma,Костромская область,276,4.03
73,Mariy-El,Марий Эл,262,3.83
74,Kabardin-Balkar,Кабардино-Балкария,259,3.78
75,Pskov,Псковская область,258,3.77
76,Sevastopol,Севастополь,230,3.36
77,North Ossetia,Северная Осетия — Алания,216,3.15
78,Adygey,Адыгея,197,2.88
79,Chukchi Autonomous Okrug,Чукотский автономный округ,141,2.06
80,Karachay-Cherkess,Карачаево-Черкесия,126,1.84
81,Kalmyk,Калмыкия,119,1.74
82,Tuva,Тыва,108,1.58
83,Gorno-Altay,Республика Алтай,91,1.33
84,Ingush,Ингушетия,82,1.2
85,Yevrey,Еврейская автономная область,81,1.18
